label,text,text_clean,tokens,tokens_stemmed,tokens_lemmatized,text_tokens,text_stemmed,text_lemmatized
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,"['go', 'jurong', 'point', 'crazy', 'available', 'bugis', 'great', 'world', 'la', 'buffet', 'cine', 'got', 'amore', 'wat']","['go', 'jurong', 'point', 'crazi', 'avail', 'bugi', 'great', 'world', 'la', 'buffet', 'cine', 'got', 'amor', 'wat']","['go', 'jurong', 'point', 'crazy', 'available', 'bugis', 'great', 'world', 'la', 'buffet', 'cine', 'get', 'amore', 'wat']",go jurong point crazy available bugis great world la buffet cine got amore wat,go jurong point crazi avail bugi great world la buffet cine got amor wat,go jurong point crazy available bugis great world la buffet cine get amore wat
ham,Ok lar... Joking wif u oni...,ok lar joking wif u oni,"['ok', 'lar', 'joking', 'wif', 'oni']","['ok', 'lar', 'joke', 'wif', 'oni']","['ok', 'lar', 'joking', 'wif', 'oni']",ok lar joking wif oni,ok lar joke wif oni,ok lar joking wif oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry question std txt rate t c s apply over s,"['free', 'entry', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', 'st', 'may', 'text', 'fa', 'receive', 'entry', 'question', 'std', 'txt', 'rate', 'apply']","['free', 'entri', 'wkli', 'comp', 'win', 'fa', 'cup', 'final', 'tkt', 'st', 'may', 'text', 'fa', 'receiv', 'entri', 'question', 'std', 'txt', 'rate', 'appli']","['free', 'entry', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', 'st', 'may', 'text', 'fa', 'receive', 'entry', 'question', 'std', 'txt', 'rate', 'apply']",free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate apply,free entri wkli comp win fa cup final tkt st may text fa receiv entri question std txt rate appli,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate apply
ham,U dun say so early hor... U c already then say...,u dun say so early hor u c already then say,"['dun', 'say', 'early', 'hor', 'already', 'say']","['dun', 'say', 'earli', 'hor', 'alreadi', 'say']","['dun', 'say', 'early', 'hor', 'already', 'say']",dun say early hor already say,dun say earli hor alreadi say,dun say early hor already say
ham,"Nah I don't think he goes to usf, he lives around here though",nah i don t think he goes to usf he lives around here though,"['nah', 'think', 'goes', 'usf', 'lives', 'around', 'though']","['nah', 'think', 'goe', 'usf', 'live', 'around', 'though']","['nah', 'think', 'go', 'usf', 'life', 'around', 'though']",nah think goes usf lives around though,nah think goe usf live around though,nah think go usf life around though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",freemsg hey there darling it s been week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send to rcv,"['freemsg', 'hey', 'darling', 'week', 'word', 'back', 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chgs', 'send', 'rcv']","['freemsg', 'hey', 'darl', 'week', 'word', 'back', 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chg', 'send', 'rcv']","['freemsg', 'hey', 'darling', 'week', 'word', 'back', 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chgs', 'send', 'rcv']",freemsg hey darling week word back like fun still tb ok xxx std chgs send rcv,freemsg hey darl week word back like fun still tb ok xxx std chg send rcv,freemsg hey darling week word back like fun still tb ok xxx std chgs send rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,even my brother is not like to speak with me they treat me like aids patent,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aids', 'patent']","['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent']","['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent']",even brother like speak treat like aids patent,even brother like speak treat like aid patent,even brother like speak treat like aid patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'callers', 'press', 'copy', 'friends', 'callertune']","['per', 'request', 'mell', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', 'set', 'callertun', 'caller', 'press', 'copi', 'friend', 'callertun']","['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'caller', 'press', 'copy', 'friend', 'callertune']",per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner as a valued network customer you have been selected to receivea prize reward to claim call claim code kl valid hours only,"['winner', 'valued', 'network', 'customer', 'selected', 'receivea', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'kl', 'valid', 'hours']","['winner', 'valu', 'network', 'custom', 'select', 'receivea', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'kl', 'valid', 'hour']","['winner', 'value', 'network', 'customer', 'select', 'receivea', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'kl', 'valid', 'hour']",winner valued network customer selected receivea prize reward claim call claim code kl valid hours,winner valu network custom select receivea prize reward claim call claim code kl valid hour,winner value network customer select receivea prize reward claim call claim code kl valid hour
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on,"['mobile', 'months', 'entitled', 'update', 'latest', 'colour', 'mobiles', 'camera', 'free', 'call', 'mobile', 'update', 'co', 'free']","['mobil', 'month', 'entitl', 'updat', 'latest', 'colour', 'mobil', 'camera', 'free', 'call', 'mobil', 'updat', 'co', 'free']","['mobile', 'month', 'entitle', 'update', 'late', 'colour', 'mobile', 'camera', 'free', 'call', 'mobile', 'update', 'co', 'free']",mobile months entitled update latest colour mobiles camera free call mobile update co free,mobil month entitl updat latest colour mobil camera free call mobil updat co free,mobile month entitle update late colour mobile camera free call mobile update co free
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today,"['gon', 'na', 'home', 'soon', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'cried', 'enough', 'today']","['gon', 'na', 'home', 'soon', 'want', 'talk', 'stuff', 'anymor', 'tonight', 'cri', 'enough', 'today']","['gon', 'na', 'home', 'soon', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'cry', 'enough', 'today']",gon na home soon want talk stuff anymore tonight cried enough today,gon na home soon want talk stuff anymor tonight cri enough today,gon na home soon want talk stuff anymore tonight cry enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances to win cash from to pounds txt csh and send to cost p day days tsandcs apply reply hl info,"['six', 'chances', 'win', 'cash', 'pounds', 'txt', 'csh', 'send', 'cost', 'day', 'days', 'tsandcs', 'apply', 'reply', 'hl', 'info']","['six', 'chanc', 'win', 'cash', 'pound', 'txt', 'csh', 'send', 'cost', 'day', 'day', 'tsandc', 'appli', 'repli', 'hl', 'info']","['six', 'chance', 'win', 'cash', 'pound', 'txt', 'csh', 'send', 'cost', 'day', 'day', 'tsandcs', 'apply', 'reply', 'hl', 'info']",six chances win cash pounds txt csh send cost day days tsandcs apply reply hl info,six chanc win cash pound txt csh send cost day day tsandc appli repli hl info,six chance win cash pound txt csh send cost day day tsandcs apply reply hl info
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent you have won a week free membership in our prize jackpot txt the word claim to no t c lccltd pobox ldnw a rw,"['urgent', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 'lccltd', 'pobox', 'ldnw', 'rw']","['urgent', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 'lccltd', 'pobox', 'ldnw', 'rw']","['urgent', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 'lccltd', 'pobox', 'ldnw', 'rw']",urgent week free membership prize jackpot txt word claim lccltd pobox ldnw rw,urgent week free membership prize jackpot txt word claim lccltd pobox ldnw rw,urgent week free membership prize jackpot txt word claim lccltd pobox ldnw rw
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,"['searching', 'right', 'words', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'times']","['search', 'right', 'word', 'thank', 'breather', 'promis', 'wont', 'take', 'help', 'grant', 'fulfil', 'promis', 'wonder', 'bless', 'time']","['search', 'right', 'word', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'grant', 'fulfil', 'promise', 'wonderful', 'blessing', 'time']",searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,search right word thank breather promis wont take help grant fulfil promis wonder bless time,search right word thank breather promise wont take help grant fulfil promise wonderful blessing time
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,i have a date on sunday with will,"['date', 'sunday']","['date', 'sunday']","['date', 'sunday']",date sunday,date sunday,date sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here xxxmobilemovieclub com n qjkgighjjgcbl,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'xxxmobilemovieclub', 'com', 'qjkgighjjgcbl']","['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click', 'xxxmobilemovieclub', 'com', 'qjkgighjjgcbl']","['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'xxxmobilemovieclub', 'com', 'qjkgighjjgcbl']",xxxmobilemovieclub use credit click wap link next txt message click xxxmobilemovieclub com qjkgighjjgcbl,xxxmobilemovieclub use credit click wap link next txt messag click xxxmobilemovieclub com qjkgighjjgcbl,xxxmobilemovieclub use credit click wap link next txt message click xxxmobilemovieclub com qjkgighjjgcbl
ham,Oh k...i'm watching here:),oh k i m watching here,"['oh', 'watching']","['oh', 'watch']","['oh', 'watch']",oh watching,oh watch,oh watch
